Country/Region,0
Afghanistan,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.5  0.5  0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   1.5  1.5  0.5  1.5  1.   0.   2.   4.5  4.5  2.5  0.5
  0.   1.   1.   7.5  7.5 17.  21.   8.  12.   8.   5.  30.  25.5 32.
 46.  18.5 12.5 31.  28.  32.  31.5 23.  36. ]"
Albania,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   1.   5.   4.5  6.  10.5  7.5  4.5  6.5  6.5  3.5
  4.   5.5  5.   8.5 13.  11.5 13.  21.5 11.5  2.5 11.   6.   3.5  4.5
  4.5 10.5 14.5 19.5 13.  -3.5 -8.  -4.5 -3. ]"
Algeria,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.5   0.5   0.
   0.    0.    0.    1.    2.    4.5   3.5   2.5   2.5   1.    1.5   0.5
   0.   -2.5  -2.    3.5   8.    8.    6.    8.5   1.   -4.   23.   36.
  28.   51.   34.   46.   69.   40.5  47.5  59.   88.5 108.  106.5 138.
  96.   37.   64.5  42.  -15.  -39.  -46. ]"
Andorra,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.5  0.
  0.   0.   0.   0.   0.   0.   0.  -0.5  0.   0.  -0.5  0.5 19.  18.5
  7.  18.  17.5 18.5 22.  25.5 27.5 29.  38.5 42.  32.  24.  13.5  7.
 24.5 20.5 12.5 25.  22.5 13.5  8.   8.  11. ]"
Angola,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.5  1.   0.5  0.5  0.5  0.   0.5  0.5  0.5  0.5  0.  -0.5  0.
  0.5  0.   0.5  2.5  3.   1.5  1.5  1.   0. ]"
Antigua and Barbuda,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.5  0.   0.   0.   0.
  0.   0.   0.   0.   1.   1.   0.   2.   2.   0.   0.   0.   0.   0.
  1.   4.   3.   0.   0.   1.5  1.  -0.5  0. ]"
Argentina,"[  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
   0.    0.    0.    0.    0.5   0.5   0.    0.5   3.5   4.5   1.5   2.5
   3.5   1.    5.5   6.5   6.5  11.   10.5  10.5  14.   24.   30.   68.5
  71.5  35.   16.5  50.5  88.5  85.   75.  -15.5  66.5 104.5  27.   91.
 144.   83.5  26.   53.5  56.5  62.   64. ]"
Armenia,"[ 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.5  0.   0.
  0.   0.   0.   0.   0.   0.   0.   1.5  3.5  7.   9.  17.  25.5 15.5
 18.5 26.  22.5 28.5 37.  21.5  8.  18.  25.5 52.5 45.5 36.5 54.  43.5
 62.  75.  48.5 36.  21.5  0.  -2.5  7.5 15. ]"
Australia,"[   0.     0.     0.     2.     2.5    0.5    0.5    1.     0.5    1.5
    1.5    0.     0.5    0.5    0.5    1.     0.5    0.     0.     0.
    0.    -3.    -3.     0.     0.    -1.    -1.     0.     0.    -0.5
   -0.5    0.     0.     0.     0.     0.     0.     5.     5.5    2.
    6.    10.5    2.5   -1.     4.     7.5   13.5   15.5   18.5   10.5
   35.    60.    48.5   63.5   76.5   94.   112.5  109.5  194.5  348.
  274.5  233.5  325.   352.   349.5  378.5  394.   352.5  229.5  166.5
  194.5  116.5  123.5  121.   -71.   -62.5  101.5  -92.5 -295. ]"
Austria,"[ 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  5.000e-01
  5.000e-01  3.000e+00  5.500e+00  4.500e+00  3.500e+00  5.500e+00
  1.000e+01  1.300e+01  1.900e+01  2.450e+01  2.500e+01  3.700e+01
  5.650e+01  5.950e+01  1.275e+02  1.755e+02  1.780e+02  1.805e+02
  2.375e+02  3.120e+02  3.350e+02  3.700e+02  3.995e+02  5.920e+02
  8.235e+02  8.445e+02  5.525e+02  7.510e+02  9.125e+02  6.150e+02
  4.245e+02  4.480e+02  3.670e+02  1.275e+02  1.325e+02  1.025e+02
 -6.700e+01 -2.425e+02 -2.370e+02 -2.495e+02 -2.285e+02 -3.205e+02
 -4.480e+02]"
