dep,num
01,32
02,89
03,52
04,6
05,8
06,185
07,8
08,33
09,16
10,30
11,38
12,27
13,547
14,163
15,23
16,30
17,66
18,28
19,36
21,158
22,30
23,16
24,37
25,174
26,58
27,34
28,42
29,140
2A,25
2B,14
30,103
31,370
32,12
33,326
34,299
35,178
36,19
37,144
38,171
39,17
40,30
41,20
42,138
43,18
44,218
45,111
46,12
47,29
48,3
49,164
50,54
51,99
52,14
53,16
54,181
55,18
56,54
57,144
58,28
59,588
60,82
61,28
62,222
63,133
64,92
65,34
66,64
67,238
68,138
69,433
70,24
71,48
72,48
73,36
74,75
75,1012
76,253
77,127
78,186
79,26
80,148
81,59
82,38
83,102
84,46
85,40
86,118
87,98
88,20
89,34
90,45
91,179
92,348
93,209
94,345
95,125
971,63
972,58
973,19
974,138
976,10
