Country/Region,0
Afghanistan,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.125   0.125  -0.25   -0.25    0.125   0.125
   0.      0.      0.      0.      0.      0.      0.      0.375   0.375
  -0.625  -0.375   0.375  -0.375   0.125   1.5     0.375  -1.625  -1.625
  -0.125   1.125   0.875   1.5     1.375   0.75    1.75   -4.625  -5.625
   2.25    0.5     5.5     6.875  -5.      0.     -3.875 -13.5     6.5
  12.25   -2.875  -3.     -2.5     0.375   5.      0.      2.125   0.125
  -5.25    0.     -5.    -10.125   4.625  12.375   3.125   2.75    7.375
   1.25   -3.75   -3.25 ]"
Albania,"[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.25   1.25   0.625 -1.     0.625  0.125
 -3.    -0.625  2.    -0.5   -1.125  1.25   0.875  0.25   1.75   0.
 -2.     1.75  -0.375 -7.25   0.25   5.625 -1.75  -1.25   2.125  1.875
  2.25   0.75  -2.875 -8.    -4.875  5.5    5.625  0.375  0.625  0.75
 -0.75   0.     1.625 -0.125 -2.75  -3.25   1.625  5.5    0.375 -3.375
 -3.625 -2.875 -1.5  ]"
Algeria,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.125   0.125  -0.25   -0.25    0.125
   0.125   0.25    0.5     0.625  -0.125  -1.375  -0.625   0.125   0.
   0.25   -0.125  -0.625  -0.125   2.25    3.     -0.375  -3.     -1.
  -0.75   -3.25    6.75   13.125  -4.25   -6.25    0.25   -5.      7.25
  -0.125 -14.125   6.     15.625   7.625  -5.75   -4.75   -7.125 -32.75
  -5.25   26.5   -12.    -21.5    19.875  30.75   -5.    -13.875  16.625
  11.875  -4.     -2.875  -1.125 -17.25  -28.25   19.25   35.125 -17.875
 -36.75  -13.75   -1.25 ]"
Andorra,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.125   0.125  -0.25   -0.25    0.125   0.125   0.      0.
   0.      0.     -0.125   0.      0.25   -0.125   0.      5.      4.375
  -7.875  -4.625   5.625   0.25   -1.5     1.625   0.25   -0.875   1.375
   2.375  -4.375  -7.75   -3.      0.25    7.375   7.625  -5.75   -2.25
   5.5    -4.     -6.125   1.5     3.5    -0.125  -4.625  -0.875  10.
   2.    -11.25    2.5     8.75   -5.5    -5.875   1.375   0.25    1.875
   3.75   -0.625  -3.25 ]"
Angola,"[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.125  0.25  -0.125 -0.375  0.
  0.     0.     0.25   0.    -0.125 -0.125 -0.25   0.125  0.5    0.
 -0.25   0.625  0.625 -0.875 -1.     0.125  0.    -0.375  0.125  0.75
  0.375 -0.375  0.     0.25   0.375  0.375 -1.    -1.     0.625  0.625
 -0.25  -0.375 -0.25 ]"
Antigua and Barbuda,"[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.125  0.125
 -0.25  -0.25   0.125  0.125  0.     0.     0.     0.     0.25   0.25
 -0.5    0.     0.75  -0.75  -1.     0.5    0.5    0.     0.25   1.
  0.25  -2.    -1.25   1.375  1.    -0.875 -0.5    0.875  0.5   -0.375
 -0.625 -0.625  0.375  0.875  0.125 -0.125 -0.125 -0.625 -0.75   0.75
  1.5    0.25  -0.5  ]"
Argentina,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.125   0.125  -0.25   -0.125   1.      1.     -1.375
  -1.5     1.      0.125   0.      1.75   -0.25   -0.25    0.75   -1.25
  -0.125   3.5     3.125   7.75    6.375 -19.5   -24.125  12.25   31.75
   4.75  -21.375 -33.75    1.25   55.125  -7.75  -33.375  39.125   1.5
 -58.75   -5.625  37.125   9.625   6.25   -5.875 -33.625  10.     15.5
  -6.75   26.375   1.    -33.375  -3.75   11.875  -5.75   -9.625  41.625
  60.25    6.125 -25.   ]"
Armenia,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.125   0.125  -0.25   -0.25    0.125   0.125   0.      0.      0.
   0.      0.      0.375   0.875   1.      0.5     1.125   2.75   -2.875
  -5.875   3.      2.75   -2.      2.625  -2.375 -10.875   0.875  11.625
   9.5     0.625 -12.625  -2.875   5.75   -0.125   6.125  -5.375 -17.625
  -3.375   0.75    0.75   10.875   8.875  -2.75   -1.75    4.     -6.625
  -9.375   7.25    6.25  -11.125  -4.625  23.125  16.625  -7.875  -8.25
  -9.75   -9.75   -4.25 ]"
Australia,"[ 0.00000e+00  5.00000e-01  6.25000e-01 -8.75000e-01 -1.12500e+00
  5.00000e-01  5.00000e-01  0.00000e+00  2.50000e-01 -5.00000e-01
 -5.00000e-01  5.00000e-01  2.50000e-01  0.00000e+00  0.00000e+00
 -3.75000e-01 -1.25000e-01  2.50000e-01  1.25000e-01 -7.50000e-01
 -7.50000e-01  1.50000e+00  1.50000e+00 -1.00000e+00 -1.00000e+00
  5.00000e-01  5.00000e-01 -3.75000e-01 -3.75000e-01  2.50000e-01
  2.50000e-01 -1.25000e-01 -1.25000e-01  0.00000e+00  0.00000e+00
  1.25000e+00  1.37500e+00 -2.00000e+00 -1.25000e+00  2.87500e+00
 -1.00000e+00 -5.00000e+00  1.25000e+00  5.00000e+00  2.00000e+00
 -1.25000e-01 -1.12500e+00 -3.25000e+00  2.87500e+00  1.36250e+01
 -7.50000e-01 -1.15000e+01  3.62500e+00  6.75000e+00  2.00000e+00
 -3.75000e+00  1.15000e+01  5.57500e+01 -5.00000e-01 -8.82500e+01
 -7.37500e+00  5.82500e+01 -6.50000e+00 -2.30000e+01  5.00000e+00
 -1.31250e+01 -5.22500e+01 -4.00000e+01  3.23750e+01  3.40000e+01
 -9.00000e+00  1.36250e+01 -3.08750e+01 -4.70000e+01  9.17500e+01
  3.83750e+01 -1.32500e+02  1.25000e+01  1.63500e+02  1.86250e+01
 -1.19500e+02 -6.57500e+01  6.52500e+01 -1.14125e+02 -2.15500e+02
  3.12625e+02  4.06625e+02 -1.19875e+02 -2.11000e+02 -2.32500e+01
  2.65000e+01  1.32500e+01  0.00000e+00]"
Austria,"[ 0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  2.50000e-01  2.50000e-01 -3.75000e-01 -3.75000e-01
  7.50000e-01  1.37500e+00 -2.50000e-01 -1.75000e+00 -1.25000e-01
  2.12500e+00  1.62500e+00  6.25000e-01  1.00000e+00 -7.50000e-01
  2.50000e-01  6.37500e+00  2.50000e+00  9.87500e+00  2.33750e+01
 -5.12500e+00 -2.77500e+01  2.25000e+00  3.16250e+01  9.50000e+00
 -1.83750e+01 -8.25000e+00  4.10000e+01  8.98750e+01  7.62500e+00
 -1.73750e+02 -8.65000e+01  1.57750e+02 -1.06250e+01 -2.12000e+02
 -7.75000e+00  1.07625e+02 -3.83750e+01 -4.42500e+01  7.38750e+01
  8.75000e+00 -8.00000e+01  7.37500e+00  8.45000e+01  4.46250e+01
 -1.60000e+01 -6.81250e+01 -7.62500e+00  1.18625e+02  6.40000e+01
 -3.20000e+01 -3.23750e+01 -1.11875e+02 -1.18750e+02  9.91250e+01
  2.02625e+02  8.53750e+01 -5.52500e+01 -1.29125e+02 -6.48750e+01
  3.65000e+01  3.57500e+01  1.02500e+01]"
Azerbaijan,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.375   0.375  -0.75   -0.75    0.75    0.75   -0.375  -0.375  -0.375
  -0.125   0.25   -0.5     0.625   1.375  -0.25    0.125  -0.25   -2.125
   1.375   3.25   -2.875  -1.875   3.5     0.5    -2.      0.125   5.75
   3.125  -8.625  -1.25    7.125  -2.     -1.125  -1.5    -1.5     8.5
  -2.75  -10.      8.      6.25  -18.125 -18.875   4.25   11.125   4.625
   2.5    -0.25   -2.125   0.375  -7.875  -9.75   18.625  25.     -0.125
 -11.375  -8.875  -6.75 ]"
Bahamas,"[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.125  0.125 -0.25   0.     0.375 -0.25  -0.375  0.     0.
  0.125  0.625  0.625 -0.875 -1.125  0.75   0.75  -0.125  0.5   -0.625
 -1.625  0.25   0.125 -0.375  2.25   1.5   -2.375 -1.125  1.25  -0.5
 -0.625  0.875  0.5    0.    -1.125 -1.125  1.75   2.25  -0.875 -2.
  0.25   1.375  1.   ]"
Bahrain,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.125   2.875   3.75   -4.5    -7.5     1.375
   4.625   0.25   -2.125  -0.625   1.625   0.75    2.      2.5    -5.75
  -4.875  13.125  10.375 -20.875 -16.375  12.5     3.75   -2.875  12.125
   6.25   -9.375  -8.5    -0.5     9.25    6.    -10.     -2.625   2.5
 -11.25    0.75   18.625   8.25  -12.125 -14.     11.375   8.5   -17.625
   2.125  22.875  -2.    -21.5    -2.75   21.125  20.125   8.5    -5.125
 -27.125 -37.75  -22.75   12.125  41.25   24.    -17.5   -44.5   -10.25
  82.5    95.5    59.75 ]"
Bangladesh,"[  0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.      0.
   0.      0.      0.      0.      0.      0.      0.      0.375   0.375
  -0.75   -0.75    0.375   0.375   0.      0.25    0.375  -0.25   -0.25
   0.5     0.125  -0.375  -0.25   -0.125   0.25   -0.875  -1.5     1.5
   1.5    -1.75   -0.625   0.75    0.5     1.75    0.875  -1.      0.375
   4.5     5.      0.25    5.375   8.875 -14.5   -15.875  23.5    25.875
  -7.75   -3.625   7.375 -21.375 -18.875  30.625  37.25  -25.875 -54.875
  -5.75   20.125  12.   ]"
Barbados,"[ 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.25   0.25  -0.125 -0.125 -0.375  0.625  1.5   -1.375
 -2.5    0.125  1.875  1.5   -0.25  -1.125 -1.375 -0.625  2.375  2.75
 -2.125 -4.375  0.     3.25   0.75  -1.75   0.     1.25   0.5   -0.25
 -1.125 -0.625  0.75   1.    -0.375 -1.     0.25  -0.25  -0.5    1.125
  0.    -1.625 -1.5  ]"
Belarus,"[ 0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00
  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.25000e-01
  1.25000e-01 -2.50000e-01 -2.50000e-01  1.25000e-01  7.50000e-01
  6.25000e-01 -1.25000e+00 -1.25000e+00  6.25000e-01  5.00000e-01
  0.00000e+00  3.75000e-01  3.75000e-01  1.87500e+00  1.12500e+00
 -4.37500e+00 -2.25000e+00  3.37500e+00  1.25000e+00 -6.25000e-01
  1.25000e-01 -2.50000e-01 -3.25000e+00 -1.50000e+00  2.75000e+00
 -5.00000e-01 -1.25000e-01  3.50000e+00  8.75000e-01 -2.37500e+00
  5.75000e+00  5.87500e+00 -1.53750e+01  7.37500e+00  3.35000e+01
 -1.36250e+01 -2.20000e+01  1.56250e+01  7.75000e+00 -3.37500e+00
  2.01250e+01  4.81250e+01 -1.02500e+01 -9.20000e+01 -2.58750e+01
  5.01250e+01  2.37500e+01  1.00000e+01 -5.25000e+00 -8.81250e+01
 -1.45875e+02  1.70125e+02  3.84125e+02 -1.78500e+02 -3.66250e+02
  1.17125e+02  1.66750e+02  7.25000e+00]"
