Country/Region,alpha-3,region,SP.POP.TOTL
Afghanistan,AFG,Asia,37172386.0
Albania,ALB,Europe,2866376.0
Algeria,DZA,Africa,42228429.0
Andorra,AND,Europe,77006.0
Angola,AGO,Africa,30809762.0
Antigua and Barbuda,ATG,Americas,96286.0
Argentina,ARG,Americas,44494502.0
Armenia,ARM,Asia,2951776.0
Australia,AUS,Oceania,24982688.0
Austria,AUT,Europe,8840521.0
Azerbaijan,AZE,Asia,9939800.0
Bahamas,BHS,Americas,385640.0
Bahrain,BHR,Asia,1569439.0
Bangladesh,BGD,Asia,161356039.0
Barbados,BRB,Americas,286641.0
Belarus,BLR,Europe,9483499.0
Belgium,BEL,Europe,11433256.0
Belize,BLZ,Americas,383071.0
Benin,BEN,Africa,11485048.0
Bhutan,BTN,Asia,754394.0
Bolivia,BOL,Americas,11353142.0
Bosnia and Herzegovina,BIH,Europe,3323929.0
Botswana,BWA,Africa,2254126.0
Brazil,BRA,Americas,209469333.0
Brunei,BRN,Asia,428962.0
Bulgaria,BGR,Europe,7025037.0
Burkina Faso,BFA,Africa,19751535.0
Myanmar,MMR,Asia,53708395.0
Burundi,BDI,Africa,11175378.0
Cabo Verde,CPV,Africa,543767.0
Cambodia,KHM,Asia,16249798.0
Cameroon,CMR,Africa,25216237.0
Canada,CAN,Americas,37057765.0
Central African Republic,CAF,Africa,4666377.0
Chad,TCD,Africa,15477751.0
Chile,CHL,Americas,18729160.0
China,CHN,Asia,1392730000.0
Colombia,COL,Americas,49648685.0
Congo,COG,Africa,5244363.0
"Congo, the Democratic Republic of the",COD,Africa,84068091.0
Costa Rica,CRI,Americas,4999441.0
Cote d'Ivoire,CIV,Africa,25069229.0
Croatia,HRV,Europe,4087843.0
Cuba,CUB,Americas,11338138.0
Cyprus,CYP,Asia,1189265.0
Czechia,CZE,Europe,10629928.0
Denmark,DNK,Europe,5793636.0
Diamond Princess,none,,
Djibouti,DJI,Africa,958920.0
Dominica,DMA,Americas,71625.0
Dominican Republic,DOM,Americas,10627165.0
Ecuador,ECU,Americas,17084357.0
Egypt,EGY,Africa,98423595.0
El Salvador,SLV,Americas,6420744.0
Equatorial Guinea,GNQ,Africa,1308974.0
Eritrea,ERI,Africa,
Estonia,EST,Europe,1321977.0
Eswatini,SWZ,Africa,1136191.0
Ethiopia,ETH,Africa,109224559.0
Fiji,FJI,Oceania,883483.0
Finland,FIN,Europe,5515525.0
France,FRA,Europe,66977107.0
Gabon,GAB,Africa,2119275.0
Gambia,GMB,Africa,2280102.0
Georgia,GEO,Asia,3726549.0
Germany,DEU,Europe,82905782.0
Ghana,GHA,Africa,29767108.0
Greece,GRC,Europe,10731726.0
Grenada,GRD,Americas,111454.0
Guatemala,GTM,Americas,17247807.0
Guinea,GIN,Africa,12414318.0
Guinea-Bissau,GNB,Africa,1874309.0
Guyana,GUY,Americas,779004.0
Haiti,HTI,Americas,11123176.0
Holy See,VAT,Europe,
Honduras,HND,Americas,9587522.0
Hungary,HUN,Europe,9775564.0
Iceland,ISL,Europe,352721.0
India,IND,Asia,1352617328.0
Indonesia,IDN,Asia,267663435.0
Iran,IRN,Asia,81800269.0
Iraq,IRQ,Asia,38433600.0
Ireland,IRL,Europe,4867309.0
Israel,ISR,Asia,8882800.0
Italy,ITA,Europe,60421760.0
Jamaica,JAM,Americas,2934855.0
Japan,JPN,Asia,126529100.0
Jordan,JOR,Asia,9956011.0
Kazakhstan,KAZ,Asia,18272430.0
Kenya,KEN,Africa,51393010.0
"Korea, Republic of",KOR,Asia,51606633.0
Kosovo,SRB,Europe,6982604.0
Kuwait,KWT,Asia,4137309.0
Kyrgyzstan,KGZ,Asia,6322800.0
Lao People's Democratic Republic,LAO,Asia,7061507.0
Latvia,LVA,Europe,1927174.0
Lebanon,LBN,Asia,6848925.0
Liberia,LBR,Africa,4818977.0
Libya,LBY,Africa,6678567.0
Liechtenstein,LIE,Europe,37910.0
Lithuania,LTU,Europe,2801543.0
Luxembourg,LUX,Europe,607950.0
MS Zaandam,none,,
Madagascar,MDG,Africa,26262368.0
Malawi,MWI,Africa,18143315.0
Malaysia,MYS,Asia,31528585.0
Maldives,MDV,Asia,515696.0
Mali,MLI,Africa,19077690.0
Malta,MLT,Europe,484630.0
Mauritania,MRT,Africa,4403319.0
Mauritius,MUS,Africa,1265303.0
Mexico,MEX,Americas,126190788.0
Moldova,MDA,Europe,2706049.0
Monaco,MCO,Europe,38682.0
Mongolia,MNG,Asia,3170208.0
Montenegro,MNE,Europe,622227.0
Morocco,MAR,Africa,36029138.0
Mozambique,MOZ,Africa,29495962.0
Namibia,NAM,Africa,2448255.0
Nepal,NPL,Asia,28087871.0
Netherlands,NLD,Europe,17231624.0
New Zealand,NZL,Oceania,4841000.0
Nicaragua,NIC,Americas,6465513.0
Niger,NER,Africa,22440000.0
Nigeria,NGA,Africa,195874740.0
North Macedonia,MKD,Europe,2082958.0
Norway,NOR,Europe,5311916.0
Oman,OMN,Asia,4829483.0
Pakistan,PAK,Asia,212215030.0
Panama,PAN,Americas,4176873.0
Papua New Guinea,PNG,Oceania,8606316.0
Paraguay,PRY,Americas,6956071.0
Peru,PER,Americas,31989256.0
Philippines,PHL,Asia,106651922.0
Poland,POL,Europe,37974750.0
Portugal,PRT,Europe,10283822.0
Qatar,QAT,Asia,2781677.0
Romania,ROU,Europe,19466145.0
Russia,RUS,Europe,144478050.0
Rwanda,RWA,Africa,12301939.0
Saint Kitts and Nevis,KNA,Americas,52441.0
Saint Lucia,LCA,Americas,181889.0
Saint Vincent and the Grenadines,VCT,Americas,110210.0
San Marino,SMR,Europe,33785.0
Sao Tome and Principe,STP,Africa,211028.0
Saudi Arabia,SAU,Asia,33699947.0
Senegal,SEN,Africa,15854360.0
Serbia,SRB,Europe,6982604.0
Seychelles,SYC,Africa,96762.0
Sierra Leone,SLE,Africa,7650154.0
Singapore,SGP,Asia,5638676.0
Slovakia,SVK,Europe,5446771.0
Slovenia,SVN,Europe,2073894.0
Somalia,SOM,Africa,15008154.0
South Africa,ZAF,Africa,57779622.0
South Sudan,SSD,Africa,10975920.0
Spain,ESP,Europe,46796540.0
Sri Lanka,LKA,Asia,21670000.0
Sudan,SDN,Africa,41801533.0
Suriname,SUR,Americas,575991.0
Sweden,SWE,Europe,10175214.0
Switzerland,CHE,Europe,8513227.0
Syria,SYR,Asia,16906283.0
Taiwan,TWN,Asia,
Tanzania,TZA,Africa,56318348.0
Thailand,THA,Asia,69428524.0
Timor-Leste,TLS,Asia,1267972.0
Togo,TGO,Africa,7889094.0
Trinidad and Tobago,TTO,Americas,1389858.0
Tunisia,TUN,Africa,11565204.0
Turkey,TUR,Asia,82319724.0
US,USA,Americas,326687501.0
Uganda,UGA,Africa,42723139.0
Ukraine,UKR,Europe,44622516.0
United Arab Emirates,ARE,Asia,9630959.0
United Kingdom,GBR,Europe,66460344.0
Uruguay,URY,Americas,3449299.0
Uzbekistan,UZB,Asia,32955400.0
Venezuela,VEN,Americas,28870195.0
Vietnam,VNM,Asia,95540395.0
"Palestine, State of",PSE,Asia,4569087.0
Western Sahara,ESH,Africa,
Yemen,YEM,Asia,28498687.0
Zambia,ZMB,Africa,17351822.0
Zimbabwe,ZWE,Africa,14439018.0
