dep,num1,num2
01,22,10
02,34,55
03,24,28
04,6,0
05,8,0
06,94,91
07,8,0
08,12,21
09,8,8
10,12,18
11,16,22
12,11,16
13,309,238
14,99,64
15,8,15
16,12,18
17,30,36
18,12,16
19,15,21
21,63,95
22,14,16
23,8,8
24,19,18
25,43,131
26,24,34
27,12,22
28,20,22
29,69,71
2A,10,15
2B,8,6
30,49,54
31,165,205
32,8,4
33,195,131
34,128,171
35,66,112
36,10,9
37,86,58
38,82,89
39,8,9
40,14,16
41,12,8
42,78,60
43,8,10
44,87,131
45,51,60
46,8,4
47,11,18
48,3,0
49,66,98
50,28,26
51,60,39
52,8,6
53,8,8
54,95,86
55,8,10
56,22,32
57,88,56
58,12,16
59,239,349
60,36,46
61,16,12
62,85,137
63,81,52
64,37,55
65,12,22
66,32,32
67,134,104
68,70,68
69,222,211
70,12,12
71,26,22
72,21,27
73,18,18
74,34,41
75,471,541
76,103,150
77,77,50
78,84,102
79,8,18
80,66,82
81,24,35
82,18,20
83,60,42
84,16,30
85,18,22
86,56,62
87,26,72
88,8,12
89,18,16
90,25,20
91,97,82
92,210,138
93,100,109
94,176,169
95,60,65
971,29,34
972,29,29
973,13,6
974,61,77
976,10,0
